Greene County Health Systems,,,,,,,,,,,,,
Shoppable Services Worksheet,,,,,,,,,,,,,
Updated 5/31/22,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,Insurance Name,Cash Price,Aetna,BCBS Alabama,Humana,,,
,,,,,,,Discounted Cash Price, % of Charges , % of Charges , % of Charges ,,,
Identifier,Shoppable Service,CPT/HCPCS Code,Service Category, Standard Charge ,Minimum Negotiated Rate,Maximum Negotiated Rate,75%,70%,37%,35%,,,
1," Psychotherapy, 30 minutes ",90832,Evaluation and Management Services, services not provided ,,,,,,,,,
2," Psychotherapy, 45 minutes ",90834,Evaluation and Management Services, services not provided ,,,,,,,,,
3," Psychotherapy, 60 minutes ",90837,Evaluation and Management Services, services not provided ,,,,,,,,,
4," Family psychotherapy, not including patient, 50 minutes ",90846,Evaluation and Management Services, services not provided ,,,,,,,,,
5," Family psychotherapy, including patient, 50 min ",90847,Evaluation and Management Services, services not provided ,,,,,,,,,
6, Group psychotherapy ,90853,Evaluation and Management Services, services not provided ,,,,,,,,,
7,"Wound Care New patient office or other outpatient visit, typically 30 min ",99203,Evaluation and Management Services, $240.18 , $84.06 , $180.14 , $180.14 , $168.13 , $88.87 , $84.06 ,,,
8," New patient office of other outpatient visit, typically 45 min ",99204,Evaluation and Management Services, $318.28 , $111.40 , $238.71 , $238.71 , $222.80 , $117.76 , $111.40 ,,,
9," New patient office of other outpatient visit, typically 60 min ",99205,Evaluation and Management Services, $435.38 , $152.38 , $326.54 , $326.54 , $304.77 , $161.09 , $152.38 ,,,
10," Patient office consultation, typically 40 min ",99243,Evaluation and Management Services, services not provided ,,,,,,,,,
11," Patient office consultation, typically 60 min ",99244,Evaluation and Management Services, services not provided ,,,,,,,,,
12," Initial new patient preventive medicine evaluation, for those ages 18 to 39 ",99385,Evaluation and Management Services, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
13," Initial new patient preventive medicine evaluation, for those ages 40 to 64 ",99386,Evaluation and Management Services, services not provided ,,,,,,,,,
14, Basic metabolic panel ,80048,Laboratory and Pathology Services, $73.00 , $25.55 , $54.75 , $54.75 , $51.10 , $27.01 , $25.55 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
15," Blood test, comprehensive group of blood chemicals ",80053,Laboratory and Pathology Services, $95.00 , $33.25 , $71.25 , $71.25 , $66.50 , $35.15 , $33.25 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
16, Obstetric blood test panel ,80055,Laboratory and Pathology Services, services not provided ,,,,,,,,,
17," Blood test, lipids ",80061,Laboratory and Pathology Services, $63.00 , $22.05 , $47.25 , $47.25 , $44.10 , $23.31 , $22.05 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
18, Kidney function panel test ,80069,Laboratory and Pathology Services, $95.00 , $33.25 , $71.25 , $71.25 , $66.50 , $35.15 , $33.25 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
19, Liver function blood test panel ,80076,Laboratory and Pathology Services, $94.00 , $32.90 , $70.50 , $70.50 , $65.80 , $34.78 , $32.90 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
20, Manual urinalysis test with examination using microscope ,81001,Laboratory and Pathology Services, $30.00 , $10.50 , $22.50 , $22.50 , $21.00 , $11.10 , $10.50 ,,,
21, Automated urinalysis test ,81003,Laboratory and Pathology Services, $16.00 , $5.60 , $12.00 , $12.00 , $11.20 , $5.92 , $5.60 ,,,
22, Prostate specific antigen ,84153,Laboratory and Pathology Services, $64.37 , $22.53 , $48.28 , $48.28 , $45.06 , $23.82 , $22.53 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
23," Blood test, thyroid stimulating hormone ",84443,Laboratory and Pathology Services, $58.80 , $20.58 , $44.10 , $44.10 , $41.16 , $21.76 , $20.58 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
24," Complete blood cell count, with differential white blood cells, automated ",85025,Laboratory and Pathology Services, $45.00 , $15.75 , $33.75 , $33.75 , $31.50 , $16.65 , $15.75 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
25," Complete blood count, automated ",85027,Laboratory and Pathology Services, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
26," Blood test, clotting time ",85610,Laboratory and Pathology Services, $36.00 , $12.60 , $27.00 , $27.00 , $25.20 , $13.32 , $12.60 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
27, Coagulation assessment blood test ,85730,Laboratory and Pathology Services, $21.04 , $7.36 , $15.78 , $15.78 , $14.73 , $7.78 , $7.36 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
28," CT scan, head or brain, without contrast ",70450,Radiology Services," $1,100.00 ", $385.00 , $825.00 , $825.00 , $770.00 , $407.00 , $385.00 ,,,
,Physician Service,70450,, $121.65 , $42.58 , $91.24 , $91.24 , $85.16 , $45.01 , $42.58 ,,,
29, MRI scan of brain before and after contrast ,70553,Radiology Services, services not provided ,,,,,,,,,
30," X-Ray, lower back, minimum four views ",72110,Radiology Services, services not provided ,,,,,,,,,
31, MRI scan of lower spinal canal ,72148,Radiology Services, services not provided ,,,,,,,,,
32," CT scan, pelvis, with contrast ",72193,Radiology Services," $1,080.00 ", $378.00 , $810.00 , $810.00 , $756.00 , $399.60 , $378.00 ,,,
,Physician Service,72193,Not Provided by Hospital, $165.30 , $57.86 , $123.98 , $123.98 , $115.71 , $61.16 , $57.86 ,,,
33, MRI scan of leg joint ,73721,Radiology Services, services not provided ,,,,,,,,,
34, CT scan of abdomen and pelvis with contrast ,74177,Radiology Services," $2,214.00 ", $774.90 ," $1,660.50 "," $1,660.50 "," $1,549.80 ", $819.18 , $774.90 ,,,
,Physician Service,74177,Not Provided by Hospital, $260.55 , $91.19 , $195.41 , $195.41 , $182.39 , $96.40 , $91.19 ,,,
35, Ultrasound of abdomen ,76700,Radiology Services, $652.00 , $228.20 , $489.00 , $489.00 , $456.40 , $241.24 , $228.20 ,,,
,Physician Service,76700,Not Provided by Hospital, $115.59 , $40.46 , $86.69 , $86.69 , $80.91 , $42.77 , $40.46 ,,,
36," Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus ",76805,Radiology Services, $246.03 , $86.11 , $184.52 , $184.52 , $172.22 , $91.03 , $86.11 ,,,
,Physician Service,76805,Not Provided by Hospital, $141.87 , $49.65 , $106.40 , $106.40 , $99.31 , $52.49 , $49.65 ,,,
37, Ultrasound pelvis through vagina ,76830,Radiology Services, services not provided ,,,,,,,,,
38, Mammography of one breast ,77065,Radiology Services, $87.71 , $30.70 , $65.78 , $65.78 , $61.40 , $32.45 , $30.70 ,,,
,Physician Service,77065,Not Provided by Hospital, $115.59 , $40.46 , $86.69 , $86.69 , $80.91 , $42.77 , $40.46 ,,,
39, Mammography of both breasts ,77066,Radiology Services, services not provided ,,,,,,,,,
40," Mammography, screening, bilateral ",77067,Radiology Services, $96.00 , $33.60 , $72.00 , $72.00 , $67.20 , $35.52 , $33.60 ,,,
,Physician Service,77067,Not Provided by Hospital, $109.44 , $38.30 , $82.08 , $82.08 , $76.61 , $40.49 , $38.30 ,,,
41, Cardiac valve and other major cardiothoracic procedures with cardiac catheterization with major complications or comorbidities ,216,Medicine and Surgery Services, services not provided ,,,,,,,,,
42, Spinal fusion except cervical without major comorbid conditions or complications ,460,Medicine and Surgery Services, services not provided ,,,,,,,,,
43, Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications ,470,Medicine and Surgery Services, services not provided ,,,,,,,,,
44, Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications ,473,Medicine and Surgery Services, services not provided ,,,,,,,,,
45, Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications ,743,Medicine and Surgery Services, services not provided ,,,,,,,,,
46," Removal of 1 or more breast growth, open procedure ",19120,Medicine and Surgery Services, services not provided ,,,,,,,,,
47, Shaving of shoulder bone using an endoscope ,29826,Medicine and Surgery Services, services not provided ,,,,,,,,,
48, Removal of one knee cartilage using an endoscope ,29881,Medicine and Surgery Services, services not provided ,,,,,,,,,
49, Removal of tonsils and adenoid glands patient younger than age 12 ,42820,Medicine and Surgery Services, services not provided ,,,,,,,,,
50," Diagnostic examination of esophagus, stomach, and/or upper small bowel using an endoscope ",43235,Medicine and Surgery Services, services not provided ,,,,,,,,,
51," Biopsy of the esophagus, stomach, and/or upper small bowel using an endoscope ",43239,Medicine and Surgery Services," $1,544.40 ", $540.54 ," $1,158.30 "," $1,158.30 "," $1,081.08 ", $571.43 , $540.54 ,,,
52, Diagnostic examination of large bowel using an endoscope ,45378,Medicine and Surgery Services,, $-   , $-   , $-   , $-   , $-   , $-   ,,,
53, Biopsy of large bowel using an endoscope ,45380,Medicine and Surgery Services," $1,712.53 ", $599.39 ," $1,284.40 "," $1,284.40 "," $1,198.77 ", $633.64 , $599.39 ,,,
54, Removal of polyps or growths of large bowel using an endoscope ,45385,Medicine and Surgery Services, services not provided ,,,,,,,,,
55, Ultrasound examination of lower large bowel using an endoscope ,45391,Medicine and Surgery Services, services not provided ,,,,,,,,,
56, Removal of gallbladder using an endoscope ,47562,Medicine and Surgery Services, services not provided ,,,,,,,,,
57, Repair of groin hernia patient age 5 or older ,49505,Medicine and Surgery Services, services not provided ,,,,,,,,,
58, Biopsy of prostate gland ,55700,Medicine and Surgery Services, services not provided ,,,,,,,,,
59, Surgical removal of prostate and surrounding lymph nodes using an endoscope ,55866,Medicine and Surgery Services, services not provided ,,,,,,,,,
60," Routine obstetric care for vaginal delivery, including pre-and post-delivery care ",59400,Medicine and Surgery Services, services not provided ,,,,,,,,,
61," Routine obstetric care for cesarean delivery, including pre-and post-delivery care ",59510,Medicine and Surgery Services, services not provided ,,,,,,,,,
62, Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care ,59610,Medicine and Surgery Services, services not provided ,,,,,,,,,
63, Injection of substance into spinal canal of lower back or sacrum using imaging guidance ,62322,Medicine and Surgery Services, services not provided ,,,,,,,,,
64, Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance ,64483,Medicine and Surgery Services, services not provided ,,,,,,,,,
65, Removal of recurring cataract in lens capsule using laser ,66821,Medicine and Surgery Services, services not provided ,,,,,,,,,
66, Removal of cataract with insertion of lens ,66984,Medicine and Surgery Services, services not provided ,,,,,,,,,
67," Electrocardiogram, routine, with interpretation and report ",93000,Medicine and Surgery Services, $35.00 , $12.25 , $26.25 , $26.25 , $24.50 , $12.95 , $12.25 ,,,
68, Insertion of catheter into left heart for diagnosis ,93452,Medicine and Surgery Services, services not provided ,,,,,,,,,
69, Sleep study PSG,95810,Medicine and Surgery Services, services not provided ,,,,,,,,,
70," Physical therapy, therapeutic exercise ",97110,Therapy Services, $74.00 , $25.90 , $55.50 , $55.50 , $51.80 , $27.38 , $25.90 ,,,
71,INJECTION SINGLE ENDON SHEATH,96372,Medicine and Surgery Services, $96.93 , $33.93 , $72.70 , $72.70 , $67.85 , $35.86 , $33.93 ,,,
72,PULSE OXIMETER,94760,Medicine and Surgery Services, $25.00 , $8.75 , $18.75 , $18.75 , $17.50 , $9.25 , $8.75 ,,,
73,MAGNESIUM,83735,Laboratory and Pathology Services, $30.00 , $10.50 , $22.50 , $22.50 , $21.00 , $11.10 , $10.50 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
74,HEMOGLOBIN A1C,83036,Laboratory and Pathology Services, $35.00 , $12.25 , $26.25 , $26.25 , $24.50 , $12.95 , $12.25 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
75,VITAMIN D,82306,Laboratory and Pathology Services, $103.60 , $36.26 , $77.70 , $77.70 , $72.52 , $38.33 , $36.26 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
76,DRUG SCREEN - MEDICAL- (X) 12,G0483,Laboratory and Pathology Services, $761.61 , $266.56 , $571.21 , $571.21 , $533.13 , $281.80 , $266.56 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
77,EKG,93005,Medicine and Surgery Services, $220.00 , $77.00 , $165.00 , $165.00 , $154.00 , $81.40 , $77.00 ,,,
78,OT THERAPEUTIC ACTIVITIES,97530,Therapy Services, $39.00 , $13.65 , $29.25 , $29.25 , $27.30 , $14.43 , $13.65 ,,,
79,ST TREATMENT,92507,Medicine and Surgery Services, $125.00 , $43.75 , $93.75 , $93.75 , $87.50 , $46.25 , $43.75 ,,,
80,URINE MICROALBUMIN,82043,Laboratory and Pathology Services, $23.00 , $8.05 , $17.25 , $17.25 , $16.10 , $8.51 , $8.05 ,,,
81,URINE CREATININE,82570,Laboratory and Pathology Services, $17.00 , $5.95 , $12.75 , $12.75 , $11.90 , $6.29 , $5.95 ,,,
82,ST SWALLOW TREATMENT,92526,Medicine and Surgery Services, $140.00 , $49.00 , $105.00 , $105.00 , $98.00 , $51.80 , $49.00 ,,,
83,"T4, FREE",84439,Laboratory and Pathology Services, $31.57 , $11.05 , $23.68 , $23.68 , $22.10 , $11.68 , $11.05 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
84,PT ELECTRICAL STIMULATION UNATTENDED,G0283,Medicine and Surgery Services, $32.00 , $11.20 , $24.00 , $24.00 , $22.40 , $11.84 , $11.20 ,,,
85,OT SELF-CARE MANAGEMENT TRAIN,97535,Therapy Services, $62.00 , $21.70 , $46.50 , $46.50 , $43.40 , $22.94 , $21.70 ,,,
86,T3,84480,Laboratory and Pathology Services, $49.63 , $17.37 , $37.22 , $37.22 , $34.74 , $18.36 , $17.37 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
87,"THYROID PROFILE (TSH, FREE T4, TOTAL T3)",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.04 , $18.04 , $16.84 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
88,PREG TEST URINE IMMU,84703,Laboratory and Pathology Services, $30.00 , $10.50 , $22.50 , $22.50 , $21.00 , $11.10 , $10.50 ,,,
89,PT THERAPEUTIC ACTIVITIES,97530,Therapy Services, $50.00 , $17.50 , $37.50 , $37.50 , $35.00 , $18.50 , $17.50 ,,,
90,TnIA2,84484,Laboratory and Pathology Services, $90.00 , $31.50 , $67.50 , $67.50 , $63.00 , $33.30 , $31.50 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
91,CPK TOTAL,82550,Laboratory and Pathology Services, $30.00 , $10.50 , $22.50 , $22.50 , $21.00 , $11.10 , $10.50 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
92,CHEST 2V,71046,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,71046,Not Provided by Hospital, $31.44 , $11.00 , $23.58 , $23.58 , $22.01 , $11.63 , $11.00 ,,,
93,OT NEORO. RE-ED 15 MIN,97112,Therapy Services, $40.00 , $14.00 , $30.00 , $30.00 , $28.00 , $14.80 , $14.00 ,,,
94,NH PG NOTE LEVEL 2 (15 MIN),99308,Medicine and Surgery Services, $80.00 , $28.00 , $60.00 , $60.00 , $56.00 , $29.60 , $28.00 ,,,
95,TRIAGE CKMB,82553,Laboratory and Pathology Services, $37.00 , $12.95 , $27.75 , $27.75 , $25.90 , $13.69 , $12.95 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
96,BETA STREP SCREEN,87880,Laboratory and Pathology Services, $47.00 , $16.45 , $35.25 , $35.25 , $32.90 , $17.39 , $16.45 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
97,INFLUENZA,87804,Laboratory and Pathology Services, $53.00 , $18.55 , $39.75 , $39.75 , $37.10 , $19.61 , $18.55 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
98,PT GAIT TRAINING,97116,Therapy Services, $35.50 , $12.43 , $26.63 , $26.63 , $24.85 , $13.14 , $12.43 ,,,
99,C & S URINE,87086,Laboratory and Pathology Services, $28.25 , $9.89 , $21.19 , $21.19 , $19.78 , $10.45 , $9.89 ,,,
100,EKG INTERPRETATION & REPORT,93010,Medicine and Surgery Services, $45.00 , $15.75 , $33.75 , $33.75 , $31.50 , $16.65 , $15.75 ,,,
101,BN PEPTIDE,83880,Laboratory and Pathology Services, $121.00 , $42.35 , $90.75 , $90.75 , $84.70 , $44.77 , $42.35 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
102,IV INF HYDRATION 31 MIN TO 1 HR,96360,Medicine and Surgery Services, $275.03 , $96.26 , $206.27 , $206.27 , $192.52 , $101.76 , $96.26 ,,,
103,LIPASE,83690,Laboratory and Pathology Services, $39.00 , $13.65 , $29.25 , $29.25 , $27.30 , $14.43 , $13.65 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
104,AMYLASE SERUM,82150,Laboratory and Pathology Services, $39.00 , $13.65 , $29.25 , $29.25 , $27.30 , $14.43 , $13.65 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
105,OT MANUAL TECHNIQUES,97140,Therapy Services, $45.00 , $15.75 , $33.75 , $33.75 , $31.50 , $16.65 , $15.75 ,,,
106,H PYLORI,86677,Laboratory and Pathology Services, $52.00 , $18.20 , $39.00 , $39.00 , $36.40 , $19.24 , $18.20 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
107,PT NEURMUSCULAR RE-EDUCATION,97112,Therapy Services, $40.00 , $14.00 , $30.00 , $30.00 , $28.00 , $14.80 , $14.00 ,,,
108,D-DIMER,85379,Laboratory and Pathology Services, $150.00 , $52.50 , $112.50 , $112.50 , $105.00 , $55.50 , $52.50 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
109,CHEST 1V,71045,Radiology Services, $156.00 , $54.60 , $117.00 , $117.00 , $109.20 , $57.72 , $54.60 ,,,
,Physician Service,71045,Not Provided by Hospital, $26.31 , $9.21 , $19.73 , $19.73 , $18.42 , $9.73 , $9.21 ,,,
110,ABDOMEN FLAT & UPRIGHT,74019,Radiology Services, $205.00 , $71.75 , $153.75 , $153.75 , $143.50 , $75.85 , $71.75 ,,,
,Physician Service,74019,Not Provided by Hospital, $33.42 , $11.70 , $25.07 , $25.07 , $23.39 , $12.37 , $11.70 ,,,
111,URIC ACID,84550,Laboratory and Pathology Services, $30.00 , $10.50 , $22.50 , $22.50 , $21.00 , $11.10 , $10.50 ,,,
112,LUMBAR SPINE COMPLETE,72120,Radiology Services, $336.00 , $117.60 , $252.00 , $252.00 , $235.20 , $124.32 , $117.60 ,,,
,Physician Service,72120,Not Provided by Hospital, $32.37 , $11.33 , $24.28 , $24.28 , $22.66 , $11.98 , $11.33 ,,,
113,KNEE COMPLETE LT,73562,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73562,Not Provided by Hospital, $32.37 , $11.33 , $24.28 , $24.28 , $22.66 , $11.98 , $11.33 ,,,
114,PT EVAL LOW COMPLEXITY,97161,Therapy Services, $100.00 , $35.00 , $75.00 , $75.00 , $70.00 , $37.00 , $35.00 ,,,
115,IV PUSH INITIAL,96374,Medicine and Surgery Services, $186.93 , $65.43 , $140.20 , $140.20 , $130.85 , $69.16 , $65.43 ,,,
116,KNEE COMPLETE RT,73562,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73562,Not Provided by Hospital, $32.37 , $11.33 , $24.28 , $24.28 , $22.66 , $11.98 , $11.33 ,,,
117,RA LATEX TEST,86430,Laboratory and Pathology Services, $21.49 , $7.52 , $16.12 , $16.12 , $15.04 , $7.95 , $7.52 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
118,CT C-SPINE WO CONTRAST,72125,Radiology Services," $1,103.00 ", $386.05 , $827.25 , $827.25 , $772.10 , $408.11 , $386.05 ,,,
,Physician Service,72125,Not Provided by Hospital, $142.95 , $50.03 , $107.21 , $107.21 , $100.07 , $52.89 , $50.03 ,,,
119,OT WHEELCHAIR  TRAINING,97542,Therapy Services, $42.00 , $14.70 , $31.50 , $31.50 , $29.40 , $15.54 , $14.70 ,,,
120,IV INFUSION DRUG THERAPY UP TO 1 HR,96365,Medicine and Surgery Services, $362.25 , $126.79 , $271.69 , $271.69 , $253.58 , $134.03 , $126.79 ,,,
121,"CHLAMYDIA TRACHOMATIS, NAA",87086,Laboratory and Pathology Services, $28.25 , $9.89 , $21.18 , $21.18 , $19.77 , $10.45 , $9.89 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
122,US ECHO,93306,Radiology Services, $613.00 , $214.55 , $459.75 , $459.75 , $429.10 , $226.81 , $214.55 ,,,
,Physician Service,,Not Provided by Hospital, Billed by Provider ,,,,,,,,,
123,US VISC VAS STUDY VENOUS,93978,Radiology Services, $383.33 , $134.17 , $287.50 , $287.50 , $268.33 , $141.83 , $134.17 ,,,
,Physician Service,,Not Provided by Hospital, Billed by Provider ,,,,,,,,,
124,PT E-STIM MANUAL,97032,Therapy Services, $30.00 , $10.50 , $22.50 , $22.50 , $21.00 , $11.10 , $10.50 ,,,
125,ANA SCREEN,86038,Laboratory and Pathology Services, $42.32 , $14.81 , $31.74 , $31.74 , $29.62 , $15.66 , $14.81 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
126,ACUTE ABDOMEN SERIES,74022,Radiology Services, $285.00 , $99.75 , $213.75 , $213.75 , $199.50 , $105.45 , $99.75 ,,,
,Physician Service,74022,Not Provided by Hospital, $45.63 , $15.97 , $34.22 , $34.22 , $31.94 , $16.88 , $15.97 ,,,
