Greene County Health Systems,,,,,,,,,,,,,
127,KETONES SERUM,82009,Laboratory and Pathology Services, $32.00 , $11.20 , $24.00 , $24.00 , $22.40 , $11.84 , $11.20 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
128,IV INF HYDRATION EA ADD HR,96361,Medicine and Surgery Services, $156.90 , $54.92 , $117.68 , $117.68 , $109.83 , $58.05 , $54.92 ,,,
129,MANUAL DIFFERENTIAL,85009,Laboratory and Pathology Services, $16.00 , $5.60 , $12.00 , $12.00 , $11.20 , $5.92 , $5.60 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
130,CERVICAL SPINE COMPLETE STUDY MIN 4V,72052,Radiology Services, $261.00 , $91.35 , $195.75 , $195.75 , $182.70 , $96.57 , $91.35 ,,,
,Physician Service,72052,Not Provided by Hospital, $42.60 , $14.91 , $31.95 , $31.95 , $29.82 , $15.76 , $14.91 ,,,
131,SHOULDER 2V RT,73030,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73030,Not Provided by Hospital, $27.24 , $9.53 , $20.43 , $20.43 , $19.07 , $10.08 , $9.53 ,,,
132,FOOT COMPLETE 3V RT,73630,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73630,Not Provided by Hospital, $24.33 , $8.52 , $18.25 , $18.25 , $17.03 , $9.00 , $8.52 ,,,
133,CT CHEST WO CONTRAST,71250,Radiology Services," $1,103.00 ", $386.05 , $827.25 , $827.25 , $772.10 , $408.11 , $386.05 ,,,
,Physician Service,71250,Not Provided by Hospital, $154.14 , $53.95 , $115.61 , $115.61 , $107.90 , $57.03 , $53.95 ,,,
134,SHOULDER 2V LT,73030,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73030,Not Provided by Hospital, $27.24 , $9.53 , $20.43 , $20.43 , $19.07 , $10.08 , $9.53 ,,,
135,CALCIUM SERUM,82310,Laboratory and Pathology Services, $33.00 , $11.55 , $24.75 , $24.75 , $23.10 , $12.21 , $11.55 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
136,SIMPLE REPAIR SCALP/NECK EXT 2.5 LESS,12001,Medicine and Surgery Services, $247.43 , $86.60 , $185.57 , $185.57 , $173.20 , $91.55 , $86.60 ,,,
137,"TACROLIMUS (FK506), BLOOD",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
138,CT ABDOMEN / PELVIS WO,74176,Radiology Services," $1,984.00 ", $694.40 ," $1,488.00 "," $1,488.00 "," $1,388.80 ", $734.08 , $694.40 ,,,
,Physician Service,74176,Not Provided by Hospital, $249.39 , $87.29 , $187.04 , $187.04 , $174.57 , $92.27 , $87.29 ,,,
139,FOOT COMPLETE 3V LT,73630,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73630,Not Provided by Hospital, $24.33 , $8.52 , $18.25 , $18.25 , $17.03 , $9.00 , $8.52 ,,,
140,HAND RT,73130,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73130,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
141,HAND LT,73130,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73130,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
142,CULTURE BLOOD,87040,Laboratory and Pathology Services, $36.12 , $12.64 , $27.09 , $27.09 , $25.28 , $13.36 , $12.64 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
143,AEROBIC BACTERIAL CULTURE,87070,Laboratory and Pathology Services, $30.17 , $10.56 , $22.63 , $22.63 , $21.12 , $11.16 , $10.56 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
144,RECERTIFICATION HH,G0179,Medicine and Surgery Services, $72.00 , $25.20 , $54.00 , $54.00 , $50.40 , $26.64 , $25.20 ,,,
145,BLOOD GAS,82803,Laboratory and Pathology Services, $108.00 , $37.80 , $81.00 , $81.00 , $75.60 , $39.96 , $37.80 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
146,PT EVAL MOD COMPLEXITY,97162,Therapy Services, $125.00 , $43.75 , $93.75 , $93.75 , $87.50 , $46.25 , $43.75 ,,,
147,ANKLE COMPLETE RT MIN 3V,73610,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73610,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
148,ST TREAMENT 30 MIN,92507,Medicine and Surgery Services, $125.00 , $43.75 , $93.75 , $93.75 , $87.50 , $46.25 , $43.75 ,,,
149,ANKLE COMPLETE LT MIN 3V,73610,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73610,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
150,PHOSPHORUS SERUM,84100,Laboratory and Pathology Services, $30.00 , $10.50 , $22.50 , $22.50 , $21.00 , $11.10 , $10.50 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
151,PT ULTRASOUND,97035,Therapy Services, $25.00 , $8.75 , $18.75 , $18.75 , $17.50 , $9.25 , $8.75 ,,,
152,WRIST COMPLETE RT,73110,Radiology Services, $261.00 , $91.35 , $195.75 , $195.75 , $182.70 , $96.57 , $91.35 ,,,
,Physician Service,73110,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
153,SEDIMENTATION RATE,85651,Laboratory and Pathology Services, $26.00 , $9.10 , $19.50 , $19.50 , $18.20 , $9.62 , $9.10 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
154,VITAMIN B12,82607,Laboratory and Pathology Services, $52.78 , $18.47 , $39.59 , $39.59 , $36.95 , $19.53 , $18.47 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
155,TB INTRADERMAL TEST,86580,Laboratory and Pathology Services, $16.90 , $5.92 , $12.68 , $12.68 , $11.83 , $6.25 , $5.92 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
156,POTASSIUM SERUM,84132,Laboratory and Pathology Services, $24.00 , $8.40 , $18.00 , $18.00 , $16.80 , $8.88 , $8.40 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
157,DEPAKOTE,80164,Laboratory and Pathology Services, $47.39 , $16.59 , $35.54 , $35.54 , $33.17 , $17.53 , $16.59 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
158,OT ORTHOTIC FITTING TRAINING,97760,Therapy Services, $54.00 , $18.90 , $40.50 , $40.50 , $37.80 , $19.98 , $18.90 ,,,
159,CT MAXILLOFACIAL WO CONTRAST,70486,Radiology Services," $1,103.00 ", $386.05 , $827.25 , $827.25 , $772.10 , $408.11 , $386.05 ,,,
,Physician Service,70486,Not Provided by Hospital, $121.65 , $42.58 , $91.24 , $91.24 , $85.16 , $45.01 , $42.58 ,,,
160,IV PUSH NEW SUB,96375,Medicine and Surgery Services, $125.93 , $44.08 , $94.45 , $94.45 , $88.15 , $46.59 , $44.08 ,,,
161,HIP 1V OR 2V RT,73501,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73501,Not Provided by Hospital, $27.24 , $9.53 , $20.43 , $20.43 , $19.07 , $10.08 , $9.53 ,,,
162,HIP 1V OR 2V LT,73501,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73501,Not Provided by Hospital, $27.24 , $9.53 , $20.43 , $20.43 , $19.07 , $10.08 , $9.53 ,,,
163,RSV,87807,Laboratory and Pathology Services, $53.00 , $18.55 , $39.75 , $39.75 , $37.10 , $19.61 , $18.55 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
164,WRIST COMPLETE LT,73110,Radiology Services, $261.00 , $91.35 , $195.75 , $195.75 , $182.70 , $96.57 , $91.35 ,,,
,Physician Service,73110,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
165,LACTIC ACID,83605,Laboratory and Pathology Services, $40.50 , $14.18 , $30.38 , $30.38 , $28.35 , $14.99 , $14.18 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
166,TIB/FIB LT,73590,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73590,Not Provided by Hospital, $23.28 , $8.15 , $17.46 , $17.46 , $16.30 , $8.61 , $8.15 ,,,
167,HIV PANEL,87389,Laboratory and Pathology Services, $84.28 , $29.50 , $63.21 , $63.21 , $59.00 , $31.18 , $29.50 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
168,CERTIFICATION HH,G0180,Medicine and Surgery Services, $93.00 , $32.55 , $69.75 , $69.75 , $65.10 , $34.41 , $32.55 ,,,
169,ABDOMEN KUB,74018,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,74018,Not Provided by Hospital, $26.31 , $9.21 , $19.73 , $19.73 , $18.42 , $9.73 , $9.21 ,,,
170,FINGER RT,73140,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73140,Not Provided by Hospital, $20.16 , $7.06 , $15.12 , $15.12 , $14.11 , $7.46 , $7.06 ,,,
171,TIB/FIB RT,73590,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73590,Not Provided by Hospital, $23.28 , $8.15 , $17.46 , $17.46 , $16.30 , $8.61 , $8.15 ,,,
172,OT EVA HIGH COMPLEXITY,97167,Therapy Services, $150.00 , $52.50 , $112.50 , $112.50 , $105.00 , $55.50 , $52.50 ,,,
173,FACIAL BONES COMPLETE,70150,Radiology Services, $261.00 , $91.35 , $195.75 , $195.75 , $182.70 , $96.57 , $91.35 ,,,
,Physician Service,70150,Not Provided by Hospital, $37.47 , $13.11 , $28.10 , $28.10 , $26.23 , $13.86 , $13.11 ,,,
174,FOREARM COMPLETE LT,73090,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73090,Not Provided by Hospital, $23.28 , $8.15 , $17.46 , $17.46 , $16.30 , $8.61 , $8.15 ,,,
175,PELVIS,72170,Radiology Services, $156.00 , $54.60 , $117.00 , $117.00 , $109.20 , $57.72 , $54.60 ,,,
,Physician Service,72170,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
176,RIBS UNILATERAL COMP W PA CHEST,71101,Radiology Services, $261.00 , $91.35 , $195.75 , $195.75 , $182.70 , $96.57 , $91.35 ,,,
,Physician Service,71101,Not Provided by Hospital, $38.52 , $13.48 , $28.89 , $28.89 , $26.96 , $14.25 , $13.48 ,,,
177,ST SW ALLOW EVAL 30 MIN,92610,Medicine and Surgery Services, $180.00 , $63.00 , $135.00 , $135.00 , $126.00 , $66.60 , $63.00 ,,,
178,CT L-SPINE WO CONTRAST,72131,Radiology Services," $1,103.00 ", $386.05 , $827.25 , $827.25 , $772.10 , $408.11 , $386.05 ,,,
,Physician Service,72131,Not Provided by Hospital, $142.95 , $50.03 , $107.21 , $107.21 , $100.07 , $52.89 , $50.03 ,,,
179,HIP 2V OR 3V LT,73502,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73502,Not Provided by Hospital, $32.37 , $11.33 , $24.28 , $24.28 , $22.66 , $11.98 , $11.33 ,,,
180,AMMONIA,82140,Laboratory and Pathology Services, $51.00 , $17.85 , $38.25 , $38.25 , $35.70 , $18.87 , $17.85 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
181,HEPATITIS PANEL  ABC,84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
182,DIGOXIN LEVEL,80162,Laboratory and Pathology Services, $67.00 , $23.45 , $50.25 , $50.25 , $46.90 , $24.79 , $23.45 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
183,SKULL COMPLETE MIN 4V,70260,Radiology Services, $261.00 , $91.35 , $195.75 , $195.75 , $182.70 , $96.57 , $91.35 ,,,
,Physician Service,70260,Not Provided by Hospital, $40.50 , $14.18 , $30.38 , $30.38 , $28.35 , $14.99 , $14.18 ,,,
184,"KEPPRA (Levetiracetam), SERUM",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
185,DILANTIN,80185,Laboratory and Pathology Services, $73.00 , $25.55 , $54.75 , $54.75 , $51.10 , $27.01 , $25.55 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
186,OCCULT BLOOD,82272,Laboratory and Pathology Services, $15.00 , $5.25 , $11.25 , $11.25 , $10.50 , $5.55 , $5.25 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
187,FOLATE,82746,Laboratory and Pathology Services, $51.45 , $18.01 , $38.59 , $38.59 , $36.02 , $19.04 , $18.01 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
188,PT MANUAL TECHNIQUES,97140,Therapy Services, $43.00 , $15.05 , $32.25 , $32.25 , $30.10 , $15.91 , $15.05 ,,,
189,CT LOWER EXTREMITY WO CONTRAST,73700,Radiology Services," $1,103.00 ", $386.05 , $827.25 , $827.25 , $772.10 , $408.11 , $386.05 ,,,
,Physician Service,73700,Not Provided by Hospital, $142.95 , $50.03 , $107.21 , $107.21 , $100.07 , $52.89 , $50.03 ,,,
190,SUB HOSP ROUNDS LVL 2,99232,Medicine and Surgery Services, $90.00 , $31.50 , $67.50 , $67.50 , $63.00 , $33.30 , $31.50 ,,,
191,VITAMIN B12 AND FOLATE,84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
192,"PROLACTIN, SERUM",84436,Laboratory and Pathology Services, $24.05 , $8.42 , $18.03 , $18.03 , $16.83 , $8.90 , $8.42 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
193,PREGNANCY/SERUM QUALITATIVE,84702,Laboratory and Pathology Services, $40.00 , $14.00 , $30.00 , $30.00 , $28.00 , $14.80 , $14.00 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
194,I & D ABSCESS,10060,Medicine and Surgery Services, $410.75 , $143.76 , $308.06 , $308.06 , $287.53 , $151.98 , $143.76 ,,,
195,LSP 2V OR 3V,72120,Radiology Services, $175.48 , $61.42 , $131.61 , $131.61 , $122.84 , $64.93 , $61.42 ,,,
,Physician Service,72120,Not Provided by Hospital, $32.37 , $11.33 , $24.28 , $24.28 , $22.66 , $11.98 , $11.33 ,,,
196,SACRUM COCCYX,72220,Radiology Services, $156.00 , $54.60 , $117.00 , $117.00 , $109.20 , $57.72 , $54.60 ,,,
,Physician Service,72220,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
197,RPR,86593,Laboratory and Pathology Services, $15.40 , $5.39 , $11.55 , $11.55 , $10.78 , $5.70 , $5.39 ,,,
198,CREATININE SERUM,82565,Laboratory and Pathology Services, $30.00 , $10.50 , $22.50 , $22.50 , $21.00 , $11.10 , $10.50 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
199,FERRITIN,82728,Laboratory and Pathology Services, $47.71 , $16.70 , $35.78 , $35.78 , $33.40 , $17.65 , $16.70 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
200,ANEMIA PROFILE B,82607,Laboratory and Pathology Services, $52.78 , $18.47 , $39.59 , $39.59 , $36.95 , $19.53 , $18.47 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
201,CT CHEST W CONTRAST,71260,Radiology Services," $1,501.00 ", $525.35 ," $1,125.75 "," $1,125.75 "," $1,050.70 ", $555.37 , $525.35 ,,,
,Physician Service,71260,Not Provided by Hospital, $166.23 , $58.18 , $124.67 , $124.67 , $116.36 , $61.51 , $58.18 ,,,
202,IV INFUSION DRUG THERAPY EACH ADD'L HOUR,96366,Medicine and Surgery Services, $86.90 , $30.42 , $65.18 , $65.18 , $60.83 , $32.15 , $30.42 ,,,
203,FEMUR LT,73551,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73551,Not Provided by Hospital, $24.21 , $8.47 , $18.16 , $18.16 , $16.95 , $8.96 , $8.47 ,,,
204,US ANKLE BRACHIAL INDEX ONLY,93922,Radiology Services, $232.92 , $81.52 , $174.69 , $174.69 , $163.04 , $86.18 , $81.52 ,,,
,Physician Service,,Not Provided by Hospital, Billed by Provider ,,,,,,,,,
205,CT PE STUDY,71260,Radiology Services," $1,636.00 ", $572.60 ," $1,227.00 "," $1,227.00 "," $1,145.20 ", $605.32 , $572.60 ,,,
,Physician Service,71260,Not Provided by Hospital, $166.23 , $58.18 , $124.67 , $124.67 , $116.36 , $61.51 , $58.18 ,,,
206,SUB HOSP ROUNDS LVL 3,99233,Medicine and Surgery Services, $125.00 , $43.75 , $93.75 , $93.75 , $87.50 , $46.25 , $43.75 ,,,
207,LACERATION REPAIR,12002,Medicine and Surgery Services, $370.00 , $129.50 , $277.50 , $277.50 , $259.00 , $136.90 , $129.50 ,,,
208,HIP 2V OR 3V RT,73502,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73502,Not Provided by Hospital, $32.37 , $11.33 , $24.28 , $24.28 , $22.66 , $11.98 , $11.33 ,,,
209,BUN,84520,Laboratory and Pathology Services, $31.00 , $10.85 , $23.25 , $23.25 , $21.70 , $11.47 , $10.85 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
210,US VENOUS BILATERAL,93970,Radiology Services, $625.00 , $218.75 , $468.75 , $468.75 , $437.50 , $231.25 , $218.75 ,,,
,Physician Service,,Not Provided by Hospital, Billed by Provider ,,,,,,,,,
211,CERVICAL SPINE 2V OR 3V,72040,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,72040,Not Provided by Hospital, $32.37 , $11.33 , $24.28 , $24.28 , $22.66 , $11.98 , $11.33 ,,,
212,GLUCOSE FASTING,82947,Laboratory and Pathology Services, $30.00 , $10.50 , $22.50 , $22.50 , $21.00 , $11.10 , $10.50 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
213,SGPT (ALT),84460,Laboratory and Pathology Services, $39.00 , $13.65 , $29.25 , $29.25 , $27.30 , $14.43 , $13.65 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
214,ANAEROBIC AND AEROBIC CULTURE,87075,Laboratory and Pathology Services, $33.15 , $11.60 , $24.86 , $24.86 , $23.20 , $12.26 , $11.60 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
215,CT PELVIS WO CONTRAST,72192,Radiology Services," $1,103.00 ", $386.05 , $827.25 , $827.25 , $772.10 , $408.11 , $386.05 ,,,
,Physician Service,72192,Not Provided by Hospital, $155.16 , $54.31 , $116.37 , $116.37 , $108.61 , $57.41 , $54.31 ,,,
216,INITIAL HOSPITAL CARE,99223,Medicine and Surgery Services, $250.00 , $87.50 , $187.50 , $187.50 , $175.00 , $92.50 , $87.50 ,,,
217,HIPS BILATERAL,73521,Radiology Services, $261.00 , $91.35 , $195.75 , $195.75 , $182.70 , $96.57 , $91.35 ,,,
,Physician Service,73521,Not Provided by Hospital, $32.37 , $11.33 , $24.28 , $24.28 , $22.66 , $11.98 , $11.33 ,,,
218,ELBOW COMPLETE LT,73080,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73080,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
219,FOREARM COMPLETE RT,73090,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73090,Not Provided by Hospital, $23.28 , $8.15 , $17.46 , $17.46 , $16.30 , $8.61 , $8.15 ,,,
220,HUMERUS LT,73060,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73060,Not Provided by Hospital, $24.21 , $8.47 , $18.16 , $18.16 , $16.95 , $8.96 , $8.47 ,,,
221,C & S MISC.,87070,Laboratory and Pathology Services, $30.17 , $10.56 , $22.63 , $22.63 , $21.12 , $11.16 , $10.56 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
222,"LEAD, PEDIATRIC",83655,Laboratory and Pathology Services, $42.39 , $14.84 , $31.79 , $31.79 , $29.67 , $15.68 , $14.84 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
223,US ART EXT BILATERAL W/ ABI,93925,Radiology Services, $675.00 , $236.25 , $506.25 , $506.25 , $472.50 , $249.75 , $236.25 ,,,
,Physician Service,,Not Provided by Hospital, Billed by Provider ,,,,,,,,,
224,US VENOUS UNILATERAL,93971,Radiology Services, $450.00 , $157.50 , $337.50 , $337.50 , $315.00 , $166.50 , $157.50 ,,,
,Physician Service,,Not Provided by Hospital, Billed by Provider ,,,,,,,,,
225,OT EVA MOD COMPLEXITY,97166,Therapy Services, $125.00 , $43.75 , $93.75 , $93.75 , $87.50 , $46.25 , $43.75 ,,,
226,IV INFUSION THER/PRO ADD SEQUENTIAL 1HR,96367,Medicine and Surgery Services, $101.93 , $35.68 , $76.45 , $76.45 , $71.35 , $37.71 , $35.68 ,,,
227,ELBOW COMPLETE RT,73080,Radiology Services, $210.00 , $73.50 , $157.50 , $157.50 , $147.00 , $77.70 , $73.50 ,,,
,Physician Service,73080,Not Provided by Hospital, $25.26 , $8.84 , $18.95 , $18.95 , $17.68 , $9.35 , $8.84 ,,,
228,FINGER LT,73140,Radiology Services, $185.00 , $64.75 , $138.75 , $138.75 , $129.50 , $68.45 , $64.75 ,,,
,Physician Service,73140,Not Provided by Hospital, $20.16 , $7.06 , $15.12 , $15.12 , $14.11 , $7.46 , $7.06 ,,,
229,THORACIC SPINE COMPLETE MIN 4V,72074,Radiology Services, $261.00 , $91.35 , $195.75 , $195.75 , $182.70 , $96.57 , $91.35 ,,,
,Physician Service,72074,Not Provided by Hospital, $35.49 , $12.42 , $26.62 , $26.62 , $24.84 , $13.13 , $12.42 ,,,
230,THORACIC SPINE 2 V,72070,Radiology Services, $156.00 , $54.60 , $117.00 , $117.00 , $109.20 , $57.72 , $54.60 ,,,
,Physician Service,72070,Not Provided by Hospital, $29.34 , $10.27 , $22.01 , $22.01 , $20.54 , $10.86 , $10.27 ,,,
231,"PTH, INTACT",83970,Laboratory and Pathology Services, $144.48 , $50.57 , $108.36 , $108.36 , $101.14 , $53.46 , $50.57 ,,,
,Venipuncture,36415,, $6.00 , $2.10 , $4.50 , $4.50 , $4.20 , $2.22 , $2.10 ,,,
232,GLUCAGON EMERG KIT 1MG INJ,J1610,Medicine and Surgery Services, $724.56 , $253.60 , $543.42 , $543.42 , $507.19 , $268.09 , $253.60 ,,,
233,CT UPPER EXTREMITY WO CONTRAST,73200,Radiology Services," $1,103.00 ", $386.05 , $827.25 , $827.25 , $772.10 , $408.11 , $386.05 ,,,
,Physician Service,73200,Not Provided by Hospital, $142.95 , $50.03 , $107.21 , $107.21 , $100.07 , $52.89 , $50.03 ,,,
234,INPT DISCHARGE CARE LEVEL 2,99239,Medicine and Surgery Services, $125.00 , $43.75 , $93.75 , $93.75 , $87.50 , $46.25 , $43.75 ,,,
